fold,year,demand_mode,second_stage_cost,ens_mwh,ens_hours,diesel_mwh,wind_mwh,first_stage_cost,total_proxy,status
loo_year,1980.0,center,2997996.468936329,572.1530229139328,69,8086.1448200746545,69527.02237844467,155400.0,3153396.468936329,ok:0.30s
loo_year,1980.0,high,3174475.5004551187,718.8665314728498,81,8185.363229940896,69527.02237844467,155400.0,3329875.5004551187,ok:0.32s
loo_year,1981.0,center,4366014.002020575,1625.4334090182037,195,9135.26864334124,60644.345519155264,155400.0,4521414.002020575,ok:0.31s
loo_year,1981.0,high,4820470.786360818,1996.8397907672402,201,9412.103318645259,60644.345519155264,155400.0,4975870.786360818,ok:0.30s
loo_year,1982.0,center,3135719.05987259,740.9100342273712,95,7982.696752150729,65700.97770711035,155400.0,3291119.05987259,ok:0.31s
loo_year,1982.0,high,3374323.5267944504,948.4790349817275,108,8086.148306042409,65700.97770711035,155400.0,3529723.5267944504,ok:0.30s
loo_year,1983.0,center,4375643.571997961,1703.714165687993,182,8906.431354366556,59362.7587819919,155400.0,4531043.571997961,ok:0.31s
loo_year,1983.0,high,4896553.045451789,2114.8181141202003,219,9272.449771105299,59362.7587819919,155400.0,5051953.045451789,ok:0.30s
loo_year,1984.0,center,3138310.7818362294,605.0969012245537,68,8444.046268705586,64567.538508959115,155400.0,3293710.7818362294,ok:0.30s
loo_year,1984.0,high,3363052.728700769,765.1778905108571,81,8659.582793966372,64567.538508959115,155400.0,3518452.728700769,ok:0.30s
loo_year,1985.0,center,3397665.920961414,758.8331527627706,104,8796.10922732881,64577.149282082915,155400.0,3553065.920961414,ok:0.30s
loo_year,1985.0,high,3727996.997687075,1010.7920340114592,129,9057.349878918718,64577.149282082915,155400.0,3883396.997687075,ok:0.31s
loo_year,1986.0,center,3395235.451685902,879.7343290610836,93,8385.003742082728,67866.77980112284,155400.0,3550635.451685902,ok:0.30s
loo_year,1986.0,high,3704651.654366537,1110.4403190403923,110,8647.371117753817,67866.77980112284,155400.0,3860051.654366537,ok:0.30s
loo_year,1987.0,center,4044628.641040265,1310.681793765843,147,9113.156157581408,61938.05925796926,155400.0,4200028.641040266,ok:0.30s
loo_year,1987.0,high,4464352.974040935,1634.6967519277334,168,9432.187407044004,61938.05925796926,155400.0,4619752.974040935,ok:0.30s
loo_year,1988.0,center,3653054.981391646,1109.8810556690096,135,8477.246419075454,60951.33104600012,155400.0,3808454.981391646,ok:0.30s
loo_year,1988.0,high,3981297.555860565,1369.0534770576414,138,8707.48026267641,60951.33104600012,155400.0,4136697.555860565,ok:0.30s
loo_year,1989.0,center,3682390.6628078194,1152.4642897623776,132,8433.087910151473,62622.818283207715,155400.0,3837790.6628078194,ok:0.30s
loo_year,1989.0,high,4060023.5245473273,1442.9943679260016,143,8723.430522071085,62622.818283207715,155400.0,4215423.524547327,ok:0.30s
loo_year,1990.0,center,4970750.366875338,2037.7285591843724,232,9776.739358969888,54721.31935541332,155400.0,5126150.366875338,ok:0.31s
loo_year,1990.0,high,5546107.912825328,2468.2783625273705,240,10259.431834326528,54721.31935541332,155400.0,5701507.912825328,ok:0.31s
loo_year,1991.0,center,3682801.2172241956,1014.5825937280058,115,8894.062078320632,63412.29519029707,155400.0,3838201.2172241956,ok:0.30s
loo_year,1991.0,high,3990838.68910192,1252.5384285687805,126,9127.667535110464,63412.29519029707,155400.0,4146238.68910192,ok:0.30s
loo_year,1992.0,center,3535925.1493331473,868.1523240190744,128,8892.576084380244,58093.50296725333,155400.0,3691325.1493331473,ok:0.30s
loo_year,1992.0,high,3942468.9029843058,1160.8111674953698,148,9272.192451629786,58093.50296725333,155400.0,4097868.9029843058,ok:0.31s
loo_year,1993.0,center,4023259.37254938,1365.8565154388994,161,8858.009523701603,62389.11286243796,155400.0,4178659.37254938,ok:0.31s
loo_year,1993.0,high,4444927.832634447,1703.4608598360658,174,9138.223242661268,62389.11286243796,155400.0,4600327.832634447,ok:0.30s
loo_year,1994.0,center,3475180.9667646424,860.8997728387862,115,8714.270646419522,60743.42800587416,155400.0,3630580.9667646424,ok:0.29s
loo_year,1994.0,high,3822639.237858292,1120.6396411993533,136,9006.665322196463,60743.42800587416,155400.0,3978039.237858292,ok:0.32s
loo_year,1995.0,center,4051193.9100903864,1317.5344854331015,156,9112.19808219095,60862.69160208851,155400.0,4206593.910090387,ok:0.30s
loo_year,1995.0,high,4442774.803861151,1626.6046539599895,168,9387.23383300387,60862.69160208851,155400.0,4598174.803861151,ok:0.30s
loo_year,1996.0,center,3065994.4079120695,576.0449160054326,70,8299.83163968879,67977.34255690873,155400.0,3221394.4079120695,ok:0.30s
loo_year,1996.0,high,3260587.17000173,717.7709348538518,74,8476.054117159594,67977.34255690873,155400.0,3415987.17000173,ok:0.30s
loo_year,1997.0,center,3768615.90628532,1021.2887534752488,128,9157.75717603357,60848.02977323532,155400.0,3924015.90628532,ok:0.30s
loo_year,1997.0,high,4152731.2955493815,1304.0201251009107,142,9495.7039014949,60848.02977323532,155400.0,4308131.2955493815,ok:0.29s
