run,year,demand_mode,second_stage_cost,ens_mwh,ens_hours,diesel_mwh,wind_mwh,first_stage_cost,total_proxy,n_maint_starts,status
prueba_s12_t0spread,,worst_case,5435807.669248076,2912.444717470847,309,8411.20983925743,38443.55133499348,155400.0,5591207.669248076,13,ok:0.88s
prueba_s12_t0spread,2014.0,center,3598910.4992385204,1090.2744083445073,118,8362.120302980044,66039.2849496752,155400.0,3754310.4992385204,13,ok:0.30s
prueba_s12_t0spread,2014.0,high,3886258.0165121383,1326.3682367554188,128,8532.965932522398,66039.2849496752,155400.0,4041658.0165121383,13,ok:0.29s
prueba_s12_t0spread,2015.0,center,4448322.262363638,1656.7199992424248,182,9305.340877070708,60707.73980566859,155400.0,4603722.262363638,13,ok:0.31s
prueba_s12_t0spread,2015.0,high,4894125.192953904,2005.9542235302924,190,9627.236564745373,60707.73980566859,155400.0,5049525.192953904,13,ok:0.31s
prueba_s12_t0spread,2016.0,center,5769015.480850017,2791.264798992045,286,9925.835606193237,53493.13707882911,155400.0,5924415.480850017,13,ok:0.31s
prueba_s12_t0spread,2016.0,high,6475486.220050261,3361.0259421666206,313,10381.534259612137,53493.13707882911,155400.0,6630886.220050261,13,ok:0.32s
prueba_s12_t0spread,2017.0,center,3384913.9499344104,775.4312029123306,97,8698.275823406932,63586.82679145038,155400.0,3540313.9499344104,13,ok:0.30s
prueba_s12_t0spread,2017.0,high,3687672.515980134,996.6765557742119,116,8969.986534019738,63586.82679145038,155400.0,3843072.515980134,13,ok:0.31s
prueba_s12_t0spread_box8013,,worst_case,5470944.639552557,2947.4238238201797,309,8411.736052441265,38898.713363093106,155500.0,5626444.639552557,13,ok:0.31s
prueba_s12_t0spread_box8013,2014.0,center,3483979.470710188,975.4597526323794,106,8361.732393592694,65853.25200587511,155500.0,3639479.470710188,13,ok:0.31s
prueba_s12_t0spread_box8013,2014.0,high,3738692.4870851054,1179.5958738533855,114,8530.322044105735,65853.25200587511,155500.0,3894192.4870851054,13,ok:0.31s
prueba_s12_t0spread_box8013,2015.0,center,4458402.383187807,1699.7623691357373,180,9195.466713506901,60562.26933147758,155500.0,4613902.383187807,13,ok:0.31s
prueba_s12_t0spread_box8013,2015.0,high,4894050.47044126,2039.1474512654545,186,9516.343397252687,60562.26933147758,155500.0,5049550.47044126,13,ok:0.32s
prueba_s12_t0spread_box8013,2016.0,center,5581012.37408652,2597.6405768453924,281,9944.572657470424,53330.62959392369,155500.0,5736512.37408652,13,ok:0.31s
prueba_s12_t0spread_box8013,2016.0,high,6260789.336604719,3140.6201724381326,307,10400.563880555286,53330.62959392369,155500.0,6416289.336604719,13,ok:0.31s
prueba_s12_t0spread_box8013,2017.0,center,3440066.536329936,820.2603938832879,102,8732.687141488826,63436.77599428594,155500.0,3595566.536329936,13,ok:0.32s
prueba_s12_t0spread_box8013,2017.0,high,3745595.227158064,1047.768080665171,115,8992.75715497631,63436.77599428594,155500.0,3901095.227158064,13,ok:0.31s
