run,j,w,t,value
prueba_s12_t0spread,0,0,12,1.0
prueba_s12_t0spread,1,0,15,1.0
prueba_s12_t0spread,2,0,27,1.0
prueba_s12_t0spread,3,0,36,1.0
prueba_s12_t0spread,4,0,46,1.0
prueba_s12_t0spread,5,0,49,1.0
prueba_s12_t0spread,6,0,54,1.0
prueba_s12_t0spread,7,0,64,1.0
prueba_s12_t0spread,0,1,2,1.0
prueba_s12_t0spread,1,1,22,1.0
prueba_s12_t0spread,2,1,39,1.0
prueba_s12_t0spread,3,1,61,1.0
prueba_s12_t0spread,4,1,68,1.0
prueba_s12_t0spread_box8013,0,0,11,1.0
prueba_s12_t0spread_box8013,1,0,20,1.0
prueba_s12_t0spread_box8013,2,0,27,1.0
prueba_s12_t0spread_box8013,3,0,35,1.0
prueba_s12_t0spread_box8013,4,0,40,1.0
prueba_s12_t0spread_box8013,5,0,50,1.0
prueba_s12_t0spread_box8013,6,0,60,1.0
prueba_s12_t0spread_box8013,7,0,66,1.0
prueba_s12_t0spread_box8013,0,1,1,1.0
prueba_s12_t0spread_box8013,1,1,7,1.0
prueba_s12_t0spread_box8013,2,1,46,1.0
prueba_s12_t0spread_box8013,3,1,54,1.0
prueba_s12_t0spread_box8013,4,1,78,1.0
