horizon_hour,week,weekday,hour,demand
0,1,0,0,14.7375
1,1,0,1,13.46625
2,1,0,2,12.5325
3,1,0,3,12.13875
4,1,0,4,11.5425
5,1,0,5,11.5425
6,1,0,6,11.025
7,1,0,7,10.6425
8,1,0,8,11.0475
9,1,0,9,12.195
10,1,0,10,13.9275
11,1,0,11,15.1425
12,1,0,12,16.5825
13,1,0,13,16.92
14,1,0,14,17.1
15,1,0,15,16.4025
16,1,0,16,16.02
17,1,0,17,15.8175
18,1,0,18,15.975
19,1,0,19,16.245
20,1,0,20,16.38
21,1,0,21,17.2575
22,1,0,22,18.70875
23,1,0,23,17.8875
24,1,1,0,15.8625
25,1,1,1,14.52375
26,1,1,2,12.94875
27,1,1,3,12.3525
28,1,1,4,11.8125
29,1,1,5,11.50875
30,1,1,6,12.02625
31,1,1,7,13.4775
32,1,1,8,16.155
33,1,1,9,18.1125
34,1,1,10,18.495
35,1,1,11,19.2825
36,1,1,12,19.485
37,1,1,13,19.8675
38,1,1,14,19.755
39,1,1,15,19.6875
40,1,1,16,19.35
41,1,1,17,19.035
42,1,1,18,18.57375
43,1,1,19,18.45
44,1,1,20,17.8875
45,1,1,21,18.54
46,1,1,22,19.60875
47,1,1,23,18.57375
48,1,2,0,16.245
49,1,2,1,14.715
50,1,2,2,13.59
51,1,2,3,12.915
52,1,2,4,12.6
53,1,2,5,12.6225
54,1,2,6,12.328875
55,1,2,7,13.1175
56,1,2,8,15.795
57,1,2,9,17.26875
58,1,2,10,18.2475
59,1,2,11,18.99
60,1,2,12,19.89
61,1,2,13,20.2275
62,1,2,14,20.16
63,1,2,15,19.6875
64,1,2,16,19.7325
65,1,2,17,19.485
66,1,2,18,19.1025
67,1,2,19,18.6975
68,1,2,20,18.4275
69,1,2,21,19.125
70,1,2,22,19.47375
71,1,2,23,18.16875
72,1,3,0,15.885
73,1,3,1,14.4225
74,1,3,2,13.14
75,1,3,3,12.29625
76,1,3,4,11.925
77,1,3,5,12.3525
78,1,3,6,12.24
79,1,3,7,13.5225
80,1,3,8,15.4125
81,1,3,9,16.92
82,1,3,10,18.36
83,1,3,11,18.585
84,1,3,12,18.9675
85,1,3,13,19.17
86,1,3,14,18.63
87,1,3,15,19.24875
88,1,3,16,18.8775
89,1,3,17,18.7425
90,1,3,18,18.55125
91,1,3,19,18.2025
92,1,3,20,17.7975
93,1,3,21,18.64125
94,1,3,22,19.42875
95,1,3,23,18.0675
96,1,4,0,16.07625
97,1,4,1,14.8725
98,1,4,2,12.97125
99,1,4,3,12.42
100,1,4,4,12.375
101,1,4,5,12.31875
102,1,4,6,12.36375
103,1,4,7,13.7475
104,1,4,8,15.5475
105,1,4,9,17.1225
106,1,4,10,18.27
107,1,4,11,18.9
108,1,4,12,19.395
109,1,4,13,19.125
110,1,4,14,19.035
111,1,4,15,18.95625
112,1,4,16,18.18
113,1,4,17,17.82
114,1,4,18,17.6175
115,1,4,19,17.415
116,1,4,20,17.595
117,1,4,21,17.7975
118,1,4,22,18.4725
119,1,4,23,17.505
120,1,5,0,16.18875
121,1,5,1,14.5575
122,1,5,2,12.915
123,1,5,3,12.6675
124,1,5,4,12.13875
125,1,5,5,11.89125
126,1,5,6,11.46375
127,1,5,7,11.9925
128,1,5,8,13.12875
129,1,5,9,14.67
130,1,5,10,15.795
131,1,5,11,16.56
132,1,5,12,17.055
133,1,5,13,17.5725
134,1,5,14,17.37
135,1,5,15,17.145
136,1,5,16,16.4025
137,1,5,17,16.155
138,1,5,18,16.14375
139,1,5,19,16.09875
140,1,5,20,16.25625
141,1,5,21,16.8075
142,1,5,22,17.3025
143,1,5,23,16.785
144,1,6,0,15.0975
145,1,6,1,13.46625
146,1,6,2,12.31875
147,1,6,3,11.64375
148,1,6,4,11.30625
149,1,6,5,11.05875
150,1,6,6,10.5975
151,1,6,7,10.5975
152,1,6,8,11.34
153,1,6,9,11.9025
154,1,6,10,13.57875
155,1,6,11,14.95125
156,1,6,12,15.435
157,1,6,13,16.2
158,1,6,14,16.38
159,1,6,15,16.2225
160,1,6,16,15.885
161,1,6,17,15.5025
162,1,6,18,15.4125
163,1,6,19,15.7725
164,1,6,20,16.4475
165,1,6,21,17.73
166,1,6,22,18.495
167,1,6,23,17.37
168,2,0,0,15.975
169,2,0,1,14.31
170,2,0,2,13.2075
171,2,0,3,12.6225
172,2,0,4,12.375
173,2,0,5,12.0825
174,2,0,6,12.56625
175,2,0,7,14.32125
176,2,0,8,16.02
177,2,0,9,17.7075
178,2,0,10,19.09125
179,2,0,11,19.2825
180,2,0,12,20.475
181,2,0,13,20.16
182,2,0,14,19.85625
183,2,0,15,19.7775
184,2,0,16,19.54125
185,2,0,17,18.75375
186,2,0,18,18.8325
187,2,0,19,18.495
188,2,0,20,18.765
189,2,0,21,19.4175
190,2,0,22,20.1375
191,2,0,23,18.1125
192,2,1,0,15.705
193,2,1,1,14.4
194,2,1,2,13.496625
195,2,1,3,12.49875
196,2,1,4,12.3075
197,2,1,5,12.5775
198,2,1,6,13.005
199,2,1,7,14.70375
200,2,1,8,16.77375
201,2,1,9,18.3375
202,2,1,10,19.06875
203,2,1,11,20.0025
204,2,1,12,20.68875
205,2,1,13,20.62125
206,2,1,14,19.9575
207,2,1,15,19.4175
208,2,1,16,19.08
209,2,1,17,18.7875
210,2,1,18,19.00125
211,2,1,19,18.495
212,2,1,20,18.59625
213,2,1,21,19.755
214,2,1,22,20.01375
215,2,1,23,18.19125
216,2,2,0,16.38
217,2,2,1,14.68125
218,2,2,2,13.5
219,2,2,3,13.03875
220,2,2,4,12.6675
221,2,2,5,12.34125
222,2,2,6,12.79125
223,2,2,7,14.74875
224,2,2,8,16.63875
225,2,2,9,18.23625
226,2,2,10,18.73125
227,2,2,11,19.17
228,2,2,12,19.935
229,2,2,13,19.44
230,2,2,14,19.2825
231,2,2,15,19.08
232,2,2,16,19.2375
233,2,2,17,18.765
234,2,2,18,18.54
235,2,2,19,17.65125
236,2,2,20,17.7975
237,2,2,21,18.405
238,2,2,22,19.27125
239,2,2,23,18.57375
240,2,3,0,15.66
241,2,3,1,14.04
242,2,3,2,12.88125
243,2,3,3,12.465
244,2,3,4,11.97
245,2,3,5,12.06
246,2,3,6,12.2625
247,2,3,7,14.22
248,2,3,8,16.05375
249,2,3,9,17.595
250,2,3,10,18.135
251,2,3,11,18.54
252,2,3,12,18.95625
253,2,3,13,18.86625
254,2,3,14,18.5175
255,2,3,15,18.2925
256,2,3,16,17.9775
257,2,3,17,17.7525
258,2,3,18,17.3925
259,2,3,19,17.26875
260,2,3,20,16.9425
261,2,3,21,17.69625
262,2,3,22,18.68625
263,2,3,23,17.33625
264,2,4,0,15.705
265,2,4,1,14.00625
266,2,4,2,12.5775
267,2,4,3,12.18375
268,2,4,4,11.93625
269,2,4,5,12.15
270,2,4,6,12.92625
271,2,4,7,14.49
272,2,4,8,16.02
273,2,4,9,17.6625
274,2,4,10,18.25875
275,2,4,11,18.88875
276,2,4,12,19.3725
277,2,4,13,19.54125
278,2,4,14,18.9225
279,2,4,15,18.2475
280,2,4,16,17.71875
281,2,4,17,17.37
282,2,4,18,17.19
283,2,4,19,16.5375
284,2,4,20,16.65
285,2,4,21,17.51625
286,2,4,22,18.28125
287,2,4,23,17.1225
288,2,5,0,15.37875
289,2,5,1,13.8375
290,2,5,2,12.70125
291,2,5,3,11.91375
292,2,5,4,11.7
293,2,5,5,11.655
294,2,5,6,11.41875
295,2,5,7,11.62125
296,2,5,8,12.92625
297,2,5,9,14.83875
298,2,5,10,16.0425
299,2,5,11,16.965
300,2,5,12,16.97625
