day,demand
1,17.88703125
2,20.64390625
3,20.910828125
4,20.3391145833
5,20.1615104167
6,18.5911458333
7,17.5547395833
8,20.975625
9,21.1587864583
10,20.8238020833
11,19.9409375
12,19.9260416667
13,18.2766145833
14,17.35765625
15,19.9329166667
16,20.55109375
17,20.5127083333
18,20.6702604167
19,20.07671875
20,18.1093229167
21,17.0058854167
22,20.5619791667
23,20.7384375
24,20.6003645833
25,20.94090625
26,20.3872395833
27,18.0766666667
28,17.2671354167
29,19.92546875
30,20.46
31,20.9435416667
32,20.4949479167
33,20.6599479167
34,18.9366145833
35,17.6744791667
36,20.0933333333
37,20.8971354167
38,20.8667708333
39,20.4611458333
40,20.4227604167
41,18.62953125
42,17.61375
43,20.8071875
44,21.6195833333
45,21.1369583333
46,21.3044791667
47,20.7321927083
48,18.9188541667
49,17.6653125
50,21.1721354167
51,21.4219270833
52,21.01240625
53,21.3731145833
54,20.9590104167
55,19.35140625
56,18.2004166667
57,20.9504166667
58,21.68375
59,21.3422916667
60,21.4116145833
61,21.0294791667
62,19.5204166667
63,19.5891666667
64,21.91921875
65,22.34375
66,22.88859375
67,22.5969791667
68,22.3288541667
69,20.39125
70,19.7690625
71,22.7161458333
72,23.3039583333
73,23.16703125
74,23.5938541667
75,22.5815104167
76,21.0959375
77,20.5917708333
78,22.2051041667
79,23.0891145833
80,23.1366666667
81,22.6783333333
82,22.4480208333
83,20.6015104167
84,21.4459895833
85,22.0194791667
86,23.86484375
87,23.6969791667
88,23.6786458333
89,23.62078125
90,21.5525520833
91,21.34
92,22.8845833333
93,23.7365104167
94,23.6081770833
95,23.8006770833
96,21.3823958333
97,20.961875
98,21.5771875
99,23.7875
100,24.3730208333
101,23.9651041667
102,24.2647395833
103,23.5159375
104,20.6656770833
105,21.0833333333
106,23.340625
107,23.8350520833
108,24.3638541667
109,24.3491875
110,23.04328125
111,22.213125
112,23.0747916667
113,23.5021875
114,24.6256770833
115,24.8519791667
116,24.3919270833
117,22.4251041667
118,23.0873958333
119,21.7484895833
120,21.8544791667
121,25.01640625
122,25.47359375
123,24.5666666667
124,23.7261979167
125,25.2593229167
126,23.010625
127,24.65203125
128,24.9826041667
129,24.8811979167
130,24.15875
131,24.23953125
132,26.0276041667
133,24.5511979167
134,24.5403125
135,26.10953125
136,26.14734375
137,25.17625
138,25.0272916667
139,24.9705729167
140,23.1372395833
141,25.6552083333
142,26.5988020833
143,27.1963541667
144,25.92046875
145,26.6051041667
146,26.0281770833
147,23.6305208333
148,25.9880729167
149,25.7480208333
150,26.0130520833
151,25.4621354167
152,26.0035416667
153,25.9233333333
154,24.358125
155,25.43578125
156,25.9138229167
157,26.24875
158,25.8312083333
159,26.6790104167
160,26.18
161,24.3518229167
162,25.884375
163,26.5586979167
164,26.4
165,25.30515625
166,26.5506770833
167,25.1579166667
168,23.9238541667
169,27.1826041667
170,27.7916145833
171,26.5970833333
172,26.5925
173,26.20578125
174,27.34015625
175,25.6575
176,25.6116666667
177,28.4945833333
178,28.2018229167
179,27.3166666667
180,27.0989583333
181,26.7116895833
182,26.07
183,27.04109375
184,27.2519270833
185,27.5217708333
186,26.2223958333
187,26.1570833333
188,25.925625
189,24.330625
190,26.1897395833
191,26.4653125
192,26.86578125
193,24.79125
194,25.8966354167
195,24.93046875
196,23.9347395833
197,26.9878125
198,27.2393229167
199,27.3785416667
200,27.3413020833
201,26.8526041667
202,25.6311458333
203,25.0754166667
204,25.7514583333
205,27.56703125
206,27.4289583333
207,27.2330208333
208,26.5271875
209,26.3925520833
210,24.866875
211,26.3083333333
212,26.5552604167
213,26.8709375
214,25.8597395833
215,26.0894791667
216,26.46875
217,24.8279166667
218,25.8402604167
219,26.16109375
220,25.3286458333
221,25.6458228125
222,25.3211979167
223,23.835625
224,23.0839583333
225,23.9777083333
226,22.2475
227,25.3355208333
228,26.38625
229,25.9502604167
230,25.4409375
231,24.1747916667
232,25.5159895833
233,25.7216666667
