horizon_hour,week,weekday,hour,demand
0,1,0,0,18.0125
1,1,0,1,16.45875
2,1,0,2,15.3175
3,1,0,3,14.83625
4,1,0,4,14.1075
5,1,0,5,14.1075
6,1,0,6,13.475
7,1,0,7,13.0075
8,1,0,8,13.5025
9,1,0,9,14.905
10,1,0,10,17.0225
11,1,0,11,18.5075
12,1,0,12,20.2675
13,1,0,13,20.68
14,1,0,14,20.9
15,1,0,15,20.0475
16,1,0,16,19.58
17,1,0,17,19.3325
18,1,0,18,19.525
19,1,0,19,19.855
20,1,0,20,20.02
21,1,0,21,21.0925
22,1,0,22,22.86625
23,1,0,23,21.8625
24,1,1,0,19.3875
25,1,1,1,17.75125
26,1,1,2,15.82625
27,1,1,3,15.0975
28,1,1,4,14.4375
29,1,1,5,14.06625
30,1,1,6,14.69875
31,1,1,7,16.4725
32,1,1,8,19.745
33,1,1,9,22.1375
34,1,1,10,22.605
35,1,1,11,23.5675
36,1,1,12,23.815
37,1,1,13,24.2825
38,1,1,14,24.145
39,1,1,15,24.0625
40,1,1,16,23.65
41,1,1,17,23.265
42,1,1,18,22.70125
43,1,1,19,22.55
44,1,1,20,21.8625
45,1,1,21,22.66
46,1,1,22,23.96625
47,1,1,23,22.70125
48,1,2,0,19.855
49,1,2,1,17.985
50,1,2,2,16.61
51,1,2,3,15.785
52,1,2,4,15.4
53,1,2,5,15.4275
54,1,2,6,15.068625
55,1,2,7,16.0325
56,1,2,8,19.305
57,1,2,9,21.10625
58,1,2,10,22.3025
59,1,2,11,23.21
60,1,2,12,24.31
61,1,2,13,24.7225
62,1,2,14,24.64
63,1,2,15,24.0625
64,1,2,16,24.1175
65,1,2,17,23.815
66,1,2,18,23.3475
67,1,2,19,22.8525
68,1,2,20,22.5225
69,1,2,21,23.375
70,1,2,22,23.80125
71,1,2,23,22.20625
72,1,3,0,19.415
73,1,3,1,17.6275
74,1,3,2,16.06
75,1,3,3,15.02875
76,1,3,4,14.575
77,1,3,5,15.0975
78,1,3,6,14.96
79,1,3,7,16.5275
80,1,3,8,18.8375
81,1,3,9,20.68
82,1,3,10,22.44
83,1,3,11,22.715
84,1,3,12,23.1825
85,1,3,13,23.43
86,1,3,14,22.77
87,1,3,15,23.52625
88,1,3,16,23.0725
89,1,3,17,22.9075
90,1,3,18,22.67375
91,1,3,19,22.2475
92,1,3,20,21.7525
93,1,3,21,22.78375
94,1,3,22,23.74625
95,1,3,23,22.0825
96,1,4,0,19.64875
97,1,4,1,18.1775
98,1,4,2,15.85375
99,1,4,3,15.18
100,1,4,4,15.125
101,1,4,5,15.05625
102,1,4,6,15.11125
103,1,4,7,16.8025
104,1,4,8,19.0025
105,1,4,9,20.9275
106,1,4,10,22.33
107,1,4,11,23.1
108,1,4,12,23.705
109,1,4,13,23.375
110,1,4,14,23.265
111,1,4,15,23.16875
112,1,4,16,22.22
113,1,4,17,21.78
114,1,4,18,21.5325
115,1,4,19,21.285
116,1,4,20,21.505
117,1,4,21,21.7525
118,1,4,22,22.5775
119,1,4,23,21.395
120,1,5,0,19.78625
121,1,5,1,17.7925
122,1,5,2,15.785
123,1,5,3,15.4825
124,1,5,4,14.83625
125,1,5,5,14.53375
126,1,5,6,14.01125
127,1,5,7,14.6575
128,1,5,8,16.04625
129,1,5,9,17.93
130,1,5,10,19.305
131,1,5,11,20.24
132,1,5,12,20.845
133,1,5,13,21.4775
134,1,5,14,21.23
135,1,5,15,20.955
136,1,5,16,20.0475
137,1,5,17,19.745
138,1,5,18,19.73125
139,1,5,19,19.67625
140,1,5,20,19.86875
