horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
0,1,0,0,0.0,0.0
1,1,0,1,0.0,0.0
2,1,0,2,0.0,0.0
3,1,0,3,0.0,0.0
4,1,0,4,0.0,0.0
5,1,0,5,0.0,0.0
6,1,0,6,0.0,0.0
7,1,0,7,0.0,0.0
8,1,0,8,0.0,0.0
9,1,0,9,0.0,0.0
10,1,0,10,0.0,0.0
11,1,0,11,0.134976,0.0
12,1,0,12,0.180912,0.0
13,1,0,13,0.151212,0.0
14,1,0,14,0.143292,0.0
15,1,0,15,0.216156,0.0
16,1,0,16,0.47008,0.100524
17,1,0,17,1.3686,0.0
18,1,0,18,1.0032,0.0
19,1,0,19,0.23952,0.0
20,1,0,20,0.352776,0.0
21,1,0,21,0.583648,0.0
22,1,0,22,0.730704,0.0
23,1,0,23,0.636064,0.0
24,1,1,0,0.727792,0.0
25,1,1,1,0.731432,0.0
26,1,1,2,1.23,0.0
27,1,1,3,1.57861,0.0
28,1,1,4,1.761834,0.0
29,1,1,5,1.821258,0.0
30,1,1,6,1.11555,0.0
31,1,1,7,0.536328,0.0
32,1,1,8,0.879944,0.0
33,1,1,9,0.907608,0.0
34,1,1,10,0.891592,0.127452
35,1,1,11,0.872664,0.201504
36,1,1,12,0.802776,0.270804
37,1,1,13,1.34865,0.298524
38,1,1,14,1.42845,0.22962
39,1,1,15,1.647938,0.115572
40,1,1,16,1.30245,0.0
41,1,1,17,1.51671,0.0
42,1,1,18,0.545064,0.0
43,1,1,19,0.0,0.0
44,1,1,20,0.0,0.0
45,1,1,21,0.0,0.0
46,1,1,22,0.0,0.0
47,1,1,23,0.0,0.0
48,1,2,0,0.0,0.0
49,1,2,1,0.0,0.0
50,1,2,2,0.0,0.0
51,1,2,3,0.0,0.0
52,1,2,4,0.0,0.0
53,1,2,5,0.0,0.0
54,1,2,6,0.0,0.0
55,1,2,7,0.0,0.0
56,1,2,8,0.0,0.0
57,1,2,9,0.0,0.0
58,1,2,10,0.0,0.0
59,1,2,11,0.0,0.0
60,1,2,12,0.0,0.0
61,1,2,13,0.0,0.0
62,1,2,14,0.201108,0.0
63,1,2,15,0.248232,0.0
64,1,2,16,0.136956,0.0
65,1,2,17,0.51376,0.0
66,1,2,18,0.449696,0.0
67,1,2,19,0.259716,0.0
68,1,2,20,0.610584,0.0
69,1,2,21,0.317532,0.0
70,1,2,22,0.25536,0.0
71,1,2,23,0.22764,0.0
72,1,3,0,0.093792,0.0
73,1,3,1,0.0,0.0
74,1,3,2,0.0,0.0
75,1,3,3,0.0,0.0
76,1,3,4,0.0,0.0
77,1,3,5,0.0,0.0
78,1,3,6,0.0,0.0
79,1,3,7,0.0,0.0
80,1,3,8,0.0,0.0
81,1,3,9,0.0,0.0
82,1,3,10,0.0,0.0
83,1,3,11,0.0,0.0
84,1,3,12,0.0,0.0
85,1,3,13,0.0,0.0
86,1,3,14,0.0,0.0
87,1,3,15,0.0,0.0
88,1,3,16,0.339708,0.143688
89,1,3,17,0.924352,0.0
90,1,3,18,1.2573,0.0
91,1,3,19,1.14075,0.0
92,1,3,20,1.14285,0.0
93,1,3,21,0.9969,0.0
94,1,3,22,0.871208,0.0
95,1,3,23,0.689936,0.0
96,1,4,0,0.170616,0.0
97,1,4,1,0.0,0.0
98,1,4,2,0.0,0.0
99,1,4,3,0.0,0.0
100,1,4,4,0.325848,0.0
101,1,4,5,0.3108,0.0
102,1,4,6,0.673192,0.0
103,1,4,7,0.755456,0.0
104,1,4,8,0.486824,0.0
105,1,4,9,0.220512,0.0
106,1,4,10,0.0,0.0
107,1,4,11,0.0,0.0
108,1,4,12,0.0,0.0
109,1,4,13,0.0,0.0
110,1,4,14,0.144876,0.0
111,1,4,15,0.207444,0.0
112,1,4,16,0.345252,0.0
113,1,4,17,0.541424,0.0
114,1,4,18,0.481,0.0
115,1,4,19,0.470808,0.0
116,1,4,20,0.365448,0.0
117,1,4,21,0.323472,0.0
118,1,4,22,0.297336,0.0
119,1,4,23,0.358716,0.0
120,1,5,0,0.369804,0.0
121,1,5,1,0.0,0.0
122,1,5,2,0.132204,0.0
123,1,5,3,0.0,0.0
124,1,5,4,0.0,0.0
125,1,5,5,0.114384,0.0
126,1,5,6,0.0,0.0
127,1,5,7,0.0,0.0
128,1,5,8,0.0,0.0
129,1,5,9,0.0,0.0
130,1,5,10,0.0,0.0
131,1,5,11,0.0,0.0
132,1,5,12,0.0,0.0
133,1,5,13,0.0,0.0
134,1,5,14,0.0,0.0
135,1,5,15,0.0,0.0
136,1,5,16,0.0,0.0
137,1,5,17,0.116364,0.0
138,1,5,18,0.175764,0.0
139,1,5,19,0.275952,0.0
140,1,5,20,0.0,0.0
141,1,5,21,0.0,0.0
142,1,5,22,0.0,0.0
143,1,5,23,0.0,0.0
144,1,6,0,0.0,0.0
145,1,6,1,0.0,0.0
146,1,6,2,0.0,0.0
147,1,6,3,0.0,0.0
148,1,6,4,0.0,0.0
149,1,6,5,0.0,0.0
150,1,6,6,0.0,0.0
151,1,6,7,0.0,0.0
152,1,6,8,0.0,0.0
153,1,6,9,0.0,0.0
154,1,6,10,0.0,0.0
155,1,6,11,0.0,0.0
156,1,6,12,0.0,0.0
157,1,6,13,0.0,0.0
158,1,6,14,0.0,0.0
159,1,6,15,0.0,0.0
160,1,6,16,0.0,0.0
161,1,6,17,0.0,0.0
162,1,6,18,0.0,0.0
163,1,6,19,0.0,0.0
164,1,6,20,0.242688,0.0
165,1,6,21,0.098544,0.0
166,1,6,22,0.0,0.0
167,1,6,23,0.0,0.0
168,2,0,0,0.0,0.0
169,2,0,1,0.0,0.0
170,2,0,2,0.0,0.0
171,2,0,3,0.0,0.0
172,2,0,4,0.0,0.0
173,2,0,5,0.0,0.0
174,2,0,6,0.0,0.0
175,2,0,7,0.0,0.0
176,2,0,8,0.0,0.0
177,2,0,9,0.0,0.0
178,2,0,10,0.0,0.0
179,2,0,11,0.0,0.0
180,2,0,12,0.0,0.0
181,2,0,13,0.0,0.0
182,2,0,14,0.113196,0.0
183,2,0,15,0.159132,0.0
184,2,0,16,0.51376,0.0
185,2,0,17,0.886496,0.0
186,2,0,18,0.697944,0.0
187,2,0,19,0.94545,0.0
188,2,0,20,0.737984,0.0
189,2,0,21,0.297336,0.0
190,2,0,22,0.329016,0.0
191,2,0,23,0.691392,0.0
192,2,1,0,0.596752,0.0
193,2,1,1,0.0,0.0
194,2,1,2,0.19596,0.0
195,2,1,3,0.223284,0.0
196,2,1,4,0.264864,0.0
197,2,1,5,0.268428,0.0
198,2,1,6,0.167052,0.0
199,2,1,7,0.288624,0.0
200,2,1,8,0.198336,0.0
201,2,1,9,0.0,0.0
202,2,1,10,0.149232,0.0
203,2,1,11,0.114384,0.0
204,2,1,12,0.358716,0.098544
205,2,1,13,0.357132,0.0
206,2,1,14,0.368616,0.0
207,2,1,15,0.348024,0.116364
208,2,1,16,0.8268,0.12666
209,2,1,17,1.1922,0.0
210,2,1,18,1.14075,0.0
211,2,1,19,1.01265,0.0
212,2,1,20,0.861016,0.0
213,2,1,21,0.465712,0.0
214,2,1,22,0.300108,0.0
215,2,1,23,0.228432,0.0
216,2,2,0,0.0,0.0
217,2,2,1,0.09696,0.0
218,2,2,2,0.176952,0.0
219,2,2,3,0.166656,0.0
220,2,2,4,0.26724,0.0
221,2,2,5,0.0,0.0
222,2,2,6,0.0,0.0
223,2,2,7,0.0,0.0
224,2,2,8,0.0,0.0
225,2,2,9,0.0,0.0
226,2,2,10,0.0,0.0
227,2,2,11,0.0,0.0
228,2,2,12,0.0,0.0
229,2,2,13,0.0,0.0
230,2,2,14,0.0,0.0
231,2,2,15,0.0,0.0
232,2,2,16,0.360696,0.101316
233,2,2,17,0.432952,0.0
234,2,2,18,0.361884,0.0
235,2,2,19,0.0,0.0
236,2,2,20,0.0,0.0
237,2,2,21,0.0,0.0
238,2,2,22,0.0,0.0
239,2,2,23,0.0,0.0
240,2,3,0,0.0,0.0
241,2,3,1,0.0,0.0
242,2,3,2,0.0,0.0
243,2,3,3,0.0,0.0
244,2,3,4,0.0,0.0
245,2,3,5,0.0,0.0
246,2,3,6,0.0,0.0
247,2,3,7,0.111612,0.0
248,2,3,8,0.0,0.0
249,2,3,9,0.132996,0.0
250,2,3,10,0.396552,0.0
251,2,3,11,0.613496,0.0
252,2,3,12,0.700856,0.0
253,2,3,13,0.49556,0.0
254,2,3,14,0.388812,0.0
255,2,3,15,0.22368,0.0
256,2,3,16,0.0,0.0
257,2,3,17,0.0,0.0
258,2,3,18,0.172992,0.0
259,2,3,19,0.224868,0.0
260,2,3,20,0.0,0.0
261,2,3,21,0.215364,0.0
262,2,3,22,0.262884,0.0
263,2,3,23,0.0,0.0
264,2,4,0,0.0,0.0
265,2,4,1,0.0,0.0
266,2,4,2,0.0,0.0
267,2,4,3,0.0,0.0
268,2,4,4,0.0,0.0
269,2,4,5,0.0,0.0
270,2,4,6,0.0,0.0
271,2,4,7,0.0,0.0
272,2,4,8,0.0,0.0
273,2,4,9,0.0,0.0
274,2,4,10,0.0,0.0
275,2,4,11,0.0,0.0
276,2,4,12,0.0,0.0
277,2,4,13,0.0,0.0
278,2,4,14,0.0,0.0
279,2,4,15,0.0,0.0
280,2,4,16,0.0,0.0
281,2,4,17,0.0,0.0
282,2,4,18,0.0,0.0
283,2,4,19,0.0,0.0
284,2,4,20,0.211404,0.0
285,2,4,21,0.133392,0.0
286,2,4,22,0.0,0.0
287,2,4,23,0.0,0.0
288,2,5,0,0.0,0.0
289,2,5,1,0.2217,0.0
290,2,5,2,0.0,0.0
291,2,5,3,0.0,0.0
292,2,5,4,0.0,0.0
293,2,5,5,0.0,0.0
294,2,5,6,0.0,0.0
295,2,5,7,0.0,0.0
296,2,5,8,0.0,0.0
297,2,5,9,0.0,0.0
298,2,5,10,0.0,0.0
299,2,5,11,0.278328,0.0
300,2,5,12,0.309612,0.0
301,2,5,13,0.264864,0.0
302,2,5,14,0.176556,0.0
303,2,5,15,0.0,0.0
304,2,5,16,0.0,0.0
305,2,5,17,0.0,0.0
306,2,5,18,0.0,0.0
307,2,5,19,0.0,0.0
308,2,5,20,0.0,0.0
309,2,5,21,0.0,0.0
310,2,5,22,0.0,0.0
311,2,5,23,0.0,0.0
312,2,6,0,0.0,0.0
313,2,6,1,0.0,0.0
314,2,6,2,0.0,0.0
315,2,6,3,0.0,0.0
316,2,6,4,0.22566,0.0
317,2,6,5,0.0,0.0
318,2,6,6,0.0,0.0
319,2,6,7,0.0,0.0
320,2,6,8,0.0,0.0
321,2,6,9,0.0,0.0
322,2,6,10,0.0,0.0
323,2,6,11,0.0,0.0
324,2,6,12,0.0,0.0
325,2,6,13,0.0,0.0
326,2,6,14,0.0,0.0
327,2,6,15,0.2811,0.0
328,2,6,16,0.408928,0.0
