day,wind_ab_mw,wind_ka_mw
1,3.465855598449707,1.4110097885131836
2,3.4052109718322754,1.518913984298706
3,3.3635177612304688,1.5736403465270996
4,3.378678798675537,1.6293994188308716
5,3.357832193374634,1.6021247499999998
6,3.359727382659912,1.674316644668579
7,3.3502516746520996,1.6980657577514648
8,3.3729934692382812,1.7287847995758057
9,3.4071061611175537,1.7272357940673828
10,3.4071061611175537,1.7365291118621826
11,3.4071061611175537,1.7463384866714478
12,3.4052109718322754,1.7569226026535034
13,3.395735025405884,1.4825658333333331
14,3.4014205932617188,1.7961602210998535
15,3.3995256423950195,1.8059698343276978
16,3.416581630706787,1.8064861297607422
17,3.4506945610046387,1.8090676069259644
18,3.452589750289917,1.6380298333333334
19,3.441218852996826,1.8137141466140747
20,3.4127914905548096,1.6942479166666669
21,3.3938400745391846,1.8253306150436401
22,3.441218852996826,1.6935970833333336
23,3.4563798904418945,1.8137141466140747
24,3.4544849395751953,1.7186374166666667
25,3.4544849395751953,1.7860334999999996
26,3.4506945610046387,1.8155771666666667
27,3.4374284744262695,1.7293086666666666
28,3.460170269012451,1.8592764139175415
29,3.4487993717193604,1.7059101666666667
30,3.4506945610046387,1.7669018333333335
31,3.4241626262664795,1.6518779166666668
32,3.4317431449890137,1.8497250080108643
33,3.4431140422821045,1.834047833333333
34,3.465855836868286,1.5823139166666669
35,3.482912063598633,1.6482370833333333
36,3.471541166305542,1.8550171852111816
37,3.445009231567383,1.8540490865707397
38,3.452589750289917,1.8591152429580688
39,3.4544849395751953,1.6718848333333334
40,3.4620654582977295,1.8623420000076294
41,3.465855598449707,1.8677952289581299
42,3.5,1.4972502499999998
43,3.5,1.6186859166666665
44,3.458275079727173,1.4252801666666668
45,3.441218852996826,1.1963808333333332
46,3.4506945610046387,1.4598301666666667
47,3.441218852996826,1.8577275276184082
48,3.482912063598633,1.4043201666666665
49,3.4923877716064453,1.3723399166666665
50,3.479121685028076,1.4200678333333334
51,3.4923877716064453,1.5833812500000002
52,3.479121685028076,1.619518
53,3.4734363555908203,1.8528694166666668
54,3.4734363555908203,1.7599253333333333
55,3.463960647583008,1.866891860961914
56,3.471541166305542,1.4014641666666667
57,3.484807252883911,1.4493801666666668
58,3.496178150177002,1.5673317500000001
