horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
0,1,0,0,3.5,1.4463
1,1,0,1,3.5,1.23525
2,1,0,2,3.5,1.13655
3,1,0,3,3.5,1.09035
4,1,0,4,3.5,2.088666
5,1,0,5,3.5,2.201324
6,1,0,6,3.5,2.391976
7,1,0,7,3.5,2.242178
8,1,0,8,3.5,2.861178
9,1,0,9,3.5,3.02088
10,1,0,10,3.5,3.186772
11,1,0,11,3.5,3.363806
12,1,0,12,3.5,3.00231
13,1,0,13,3.5,3.445514
14,1,0,14,3.5,3.387328
15,1,0,15,3.5,3.487606
16,1,0,16,3.5,3.5
17,1,0,17,3.5,3.03945
18,1,0,18,3.5,2.64329
19,1,0,19,3.5,2.18523
20,1,0,20,3.5,1.860874
21,1,0,21,3.5,1.546422
22,1,0,22,3.5,1.3014
23,1,0,23,3.5,1.0326
24,1,1,0,3.5,0.815152
25,1,1,1,3.5,0.871208
26,1,1,2,3.5,0.87412
27,1,1,3,3.5,1.02945
28,1,1,4,3.5,1.04205
29,1,1,5,3.5,1.10085
30,1,1,6,3.5,1.3875
31,1,1,7,3.5,1.93144
32,1,1,8,3.5,2.404356
33,1,1,9,3.5,2.687858
34,1,1,10,3.5,3.11373
35,1,1,11,3.5,3.357616
36,1,1,12,3.5,3.05802
37,1,1,13,3.5,3.5
38,1,1,14,3.5,3.098874
39,1,1,15,3.5,3.015928
40,1,1,16,3.5,2.926792
41,1,1,17,3.5,2.257034
42,1,1,18,3.5,1.969818
43,1,1,19,3.5,1.37805
44,1,1,20,3.5,1.17435
45,1,1,21,3.5,1.1901
46,1,1,22,3.5,1.0263
47,1,1,23,3.5,1.0221
48,1,2,0,3.5,0.784576
49,1,2,1,3.5,0.806416
50,1,2,2,3.5,0.829712
51,1,2,3,3.5,0.85592
52,1,2,4,3.5,1.2195
53,1,2,5,3.5,1.2909
54,1,2,6,3.5,1.834876
55,1,2,7,3.5,2.509586
56,1,2,8,3.5,2.561582
57,1,2,9,3.5,2.772042
58,1,2,10,3.5,2.69281
59,1,2,11,3.5,2.893366
60,1,2,12,3.5,2.659384
61,1,2,13,3.5,2.926792
62,1,2,14,3.5,2.49473
63,1,2,15,3.5,2.331314
64,1,2,16,3.5,2.162946
65,1,2,17,3.5,1.651652
66,1,2,18,3.5,1.38855
67,1,2,19,3.5,0.9948
68,1,2,20,3.5,0.9738
69,1,2,21,3.5,0.933088
70,1,2,22,3.5,1.04205
71,1,2,23,3.5,0.878488
